id,followers_count,friends_count,listed_count,age,favourites_count,verified,statuses_count,default_profile,default_profile_image,bot
1123481,2061,2831,81,11,60807,0,63945,0,0,0
3500831,1912,1583,125,11,3860,0,195705,0,0,0
14871003,2404,1321,168,10,5789,0,10221,1,0,0
14906561,17419,11121,3291,10,73053,0,907461,0,0,0
17880873,397,783,6,10,33687,0,11371,0,0,0
20432064,12082,2012,151,9,12254,0,26887,0,0,0
22009205,2108,3613,72,9,101971,0,161880,0,0,0
25851958,1404,385,31,9,14969,0,51071,0,0,0
32604352,2085,112,1597,9,1,0,179287,0,0,1
38846888,366,716,49,9,5945,0,28747,1,0,0
50265477,294,1374,7,9,11056,0,9388,0,0,0
51703470,66,77,5,9,1318,0,4641,0,0,0
53002473,3966,273,37,9,12940,0,22448,0,0,0
55404019,87971,949,729,9,3578,0,29463,0,0,0
58165167,632,1667,31,9,88228,0,21931,0,0,1
70741097,444,557,6,9,30263,0,9763,0,0,0
82659565,6055,452,122,9,2799,0,8816,0,0,1
96738439,16914,3750,216,9,6459,0,19248,0,0,0
125072714,2456,26,6,8,2667,0,10531,0,0,1
132962832,248,644,2,8,3359,0,5502,0,0,0
133460400,1869,1856,56,8,27842,0,53575,0,0,0
135547288,1238,1424,11,8,14922,0,60803,0,0,0
136653194,166,293,1,8,17997,0,7727,1,0,0
148803815,431,1283,7,8,6868,0,5355,1,0,0
160179878,499,2396,3,8,376,0,5510,0,0,0
162672772,1054,2072,8,8,8634,0,18433,0,0,1
165051584,2476,1725,52,8,3421,0,116571,0,0,0
177548621,251,1348,4,8,9752,0,5910,0,0,0
184810052,2020,1183,10,8,64404,0,17557,0,0,1
186977143,5270,1053,99,8,57697,0,84358,0,0,0
193317159,173,458,3,8,4348,0,2293,0,0,0
197284836,1388,869,9,8,23221,0,9424,0,0,0
201197015,924,920,3,8,11319,0,31875,0,0,1
202206667,388,465,6,8,1621,0,13034,0,0,1
202212121,763,90,0,8,7446,0,13916,0,0,1
202305873,203,64,4,8,3327,0,19247,0,0,1
202339780,573,779,0,8,4654,0,9677,0,0,1
